content,second,sent
一分钟前,16276,1564757296
三小时,16297,1564756176
恰饭,16496,1564754482
4小时前,16511,1564761201
四小时前,16521,1564758329
云南白药牙膏对牙龈不好,16609,1564752205
小程12点睡觉,16624,1564757278
硬核？,16625,1564757976
哈哈哈，老大,16687,1564755290
刚看完浪浪结果盗月社也接广告了,16863,1564752521
？？,16866,1564759712
可以可以光明正大,16957,1564752797
两小时前,16996,1564753572
space门口吗,17307,1564752058
大品牌,17396,1564753502
三小时前,17567,1564757505
要去武汉上大学啦啊啊啊啊,17646,1564754962
我的家乡,17962,1564757419
3小说,17984,1564756167
终于有赞助了,18120,1564752960
弹幕也太密了吧,18431,1564756509
两小时前 趁热,18480,1564752644
卧槽我在武汉呀,18498,1564752676
我刚看完小肛和阿灿的蜡像视频 这后面那个人哈哈哈哈哈哈哈,18522,1564758582
啊啊啊啊啊你们在武汉啊！,18616,1564752819
又是你云南白药！,18685,1564761076
四个小时前,18948,1564760944
!武汉,18959,1564752981
2小时前,19213,1564752812
啥，武汉，这么热你们来武汉，，，,19597,1564753603
哇哇哇 来武汉了！,19782,1564753975
两小时,19968,1564754325
小缸和阿灿的蜡像？,20000,1564754763
武汉，捂汗，傻傻分不清楚,20059,1564757769
哇塞哇塞哇塞,20154,1564754716
啊啊啊啊啊啊我刚离开,20247,1564759467
武汉的啊啊啊啊啊啊啊啊,20279,1564755006
三小时前,20377,1564755646
云南白药牙膏好评,20396,1564760234
谐音梗，扣钱,20402,1564754584
三小时前抢救抢救还能吃,20484,1564758243
2小时前,20504,1564752548
吉庆街吗？,20558,1564752686
记笔记 回去吃,20572,1564758391
前两个小时！,20650,1564752453
武汉呀！！！！,20677,1564759250
来武汉了？！？！,20838,1564757024
武汉可以热到你融化,21039,1564758762
来过,21137,1564753330
西安就拍了俩集就完了！,21176,1564760117
哇 武汉！！,21176,1564757586
吉庆街!,21315,1564754385
啊啊啊啊啊啊 武汉 我就在那里,21316,1564753030
吉庆街啊！,21317,1564755479
啊啊啊啊来武汉了,21400,1564757578
胖了,21457,1564759319
2小时前,21595,1564753759
为什么不在北京多拍点,21640,1564754997
2小时前,21704,1564752990
吉庆街,21720,1564751874
我也在！,21858,1564754752
欢迎来武汉啊想见你们,21935,1564752833
两小时前,22016,1564753276
啊，来武大玩啊,22047,1564756345
两小时前,22386,1564753243
树梢儿下巴！,22542,1564753914
武汉欢迎你,22569,1564759422
哇在武汉,22676,1564758381
哈哈哈哈哈哈哈哈哈哈哈哈哈哈,22678,1564754087
这是吉庆街,22940,1564757528
武汉！！！,22992,1564751628
我来了啦咯啦咯啦咯,23070,1564753883
3小时后,23080,1564756583
啊！刚给我男票买这款挎包哈哈哈哈哈哈,23080,1564753905
以为是人生一串,23104,1564751159
哇⊙?⊙！武汉诶！,23219,1564761258
武汉！,23281,1564757039
啊啊啊啊啊啊啊！,23306,1564756542
十八里铺，吉庆街，清楼,23756,1564755759
哇，我也在武汉,23860,1564757794
两小时前 ,24187,1564752983
哈哈哈哈哈哈哈来了来了,24191,1564756886
来了！,24240,1564752825
哈哈哈哈哈捂汗可还行,24334,1564756311
4小时前！,24502,1564760109
八月下旬要去武汉耍耍,24519,1564759492
武汉！,24557,1564757202
武汉在此,24559,1564755384
吉庆gai,24740,1564757103
右边这是啥 吓到了,24859,1564759856
什么时候来长沙啊,24898,1564756787
蛤蛤蛤,24938,1564752978
两个小时前！,25077,1564752523
小缸和阿灿的蜡像,25162,1564755547
四小时前,25433,1564759494
有点像小缸和阿灿做的蜡像，哈哈哈,25798,1564760386
以为边站的是老板呢,25799,1564756102
我也在武汉！！！,25856,1564752998
武汉哈哈哈哈哈,25910,1564754439
我刚从武汉离开,26005,1564759488
我以为旁边是个人,26006,1564752802
武汉？我学校就旁边,26071,1564753890
哈哈哈刚开始没看清 以为雕塑是个真人,26149,1564759529
两小时前。,26191,1564752587
时长好评,26293,1564753929
热吧哈哈哈哈,26363,1564754060
 下一个是不是南昌,26632,1564756145
你们怎么不早点去！,26838,1564759286
小肛和阿灿的蜡像?,26840,1564759999
哇，我大武汉,26934,1564754254
徐州有户部山,26947,1564758321
恰饭,27034,1564759179
欢迎欢迎,27080,1564754875
吉庆gai,27117,1564757112
吉庆街啊,27332,1564756297
后面肯定有长沙,27399,1564755697
武汉！,27568,1564760658
吉庆街上面新开了一家青楼，秀才就在那。,27568,1564759010
欢迎来武汉！,27584,1564759730
四大火炉,27746,1564753189
吉庆街旁边就是space嗷,27798,1564756423
旁边的大哥2333,27981,1564758890
都去武汉了，长沙还会远嘛？,28042,1564761111
我以为后面那人是个老大爷我丢,28238,1564756854
武汉！,28350,1564760234
四小时前,28486,1564759798
啊!我也坐过这个位置!!,28673,1564753146
右边的大叔吓我一跳,28679,1564760645
右边诡异,28795,1564754618
树梢胖了？,28830,1564757882
右边大叔坐下吧 站着挺累的,28879,1564757323
户部巷就是坑钱的,28936,1564752857
看半天才发现旁边人是假的,29078,1564755565
别去户部巷坑钱的,29138,1564752704
这个假人瘆得慌。。。,29159,1564761463
树梢！,29200,1564757093
不要去户部巷,29216,1564752846
现在？我也在！,29636,1564754990
在武汉，来场偶遇,29637,1564761541
我住这里,29721,1564757008
我家门口！,29740,1564757544
我以为有三个人,29825,1564757646
为什么没弹幕,30025,1564752462
加一真人,30027,1564759417
我还以为我点错了进了人生一串呢,30289,1564754475
三小时前,30360,1564757407
旁边的人吓我一跳,30464,1564760032
旁边那好吓人啊哈哈哈哈哈,30464,1564751227
武汉=捂汗,30499,1564753587
武汉人在这儿！,30760,1564752690
武汉的来了,30835,1564758900
3小时前，来了,30845,1564755451
→我以为是真人！,31021,1564758298
粮道街油饼包烧麦！！！,31220,1564754475
去对面的space嗨啊,31253,1564755151
加一真人,31392,1564759426
三小时前！,31470,1564756897
捂汗,31688,1564759193
卧槽，我以为有3个人,31711,1564752173
这个地方我也做过啊啊啊,31762,1564757729
现在能来武汉，我接你,31857,1564757023
粮道街啊,31976,1564759731
我靠我在武汉,31997,1564754767
千万别去户部巷,32252,1564752171
热干面,32300,1564760624
我上次去吉庆街只去了space  五天去了四天,32320,1564755807
天天就等盗月社,32320,1564753883
这个画质？,32712,1564753481
我以为旁边是个浑身汗的老板,32759,1564755078
在武汉。。,32762,1564753066
户部巷算了吧,32818,1564757268
什么万秀园？,33179,1564753655
武汉小吃真的好吃，不过去了一次肯定还没吃全乎,33233,1564759893
刚发现旁边那人是假的,33294,1564760499
坐过同样的位置，一摸一样,33436,1564753925
户部巷就别去了,33757,1564752636
我才发现旁边人是个假的哈哈哈哈,33840,1564757986
三小时前,33956,1564757223
武汉人在此,33960,1564753371
来过,33988,1564753343
户部巷就别去了,34285,1564756309
啊啊啊啊啊啊啊啊啊啊啊G霸!!!!,34577,1564752694
小程12点睡,34817,1564757357
户部巷不行,34842,1564757120
母上这个爪子肿么肥四？,34899,1564758553
这个天气能到武汉来玩    我敬你们是个汉子,34957,1564757043
捂汗？,35293,1564758360
武汉，嘻嘻,35798,1564752439
户部巷就算了 垃圾,35944,1564758173
啊啊啊啊啊啊武汉人民激动了,36178,1564754129
我大武汉丫呀呀呀,36434,1564755087
你们走了？？？,36669,1564753008
什么时候来广州,36893,1564754506
假人超级恐怖,36980,1564755458
吉庆街没人吃的,36984,1564752802
这位置来过哈哈哈哈,37179,1564754553
一直以为右边的是活人,37437,1564751327
别去户部巷,37590,1564757930
楚河汉街,37597,1564760237
户部巷没意思,37899,1564752485
粮道街,38266,1564755756
啊啊啊我去过这里,38777,1564759803
妈呀，我一直以为后面有个人,38819,1564757701
在武汉,39391,1564754608
户部巷就别去了,39581,1564757518
后面竟然是个假人,39659,1564754535
长提街吗?,39883,1564753905
你说说你 我刚走你就拍武汉的-_-,39916,1564758900
两小时前,40315,1564752567
笑起来有点像孙俪，粉丝莫打我,40944,1564759210
户部巷感觉好吃的不多，排队买的很多都是长沙臭豆腐,41593,1564759926
户部巷美食徒有其名,41869,1564757987
根本就不去户部巷,42120,1564759422
四大火炉,42134,1564754126
去你们了去粮道街,42445,1564753231
户部巷感觉不太好吃（一个游客的感受）,43012,1564753992
户部巷没啥特色，都是很路边摊的那种小吃,43048,1564751959
别去户部巷,43374,1564754005
旁边老大爷说得好,43839,1564753393
我都走了，你们才去,43860,1564760802
户部巷完全不行,44078,1564751174
大夏天盖棉被打一地名,44119,1564757159
武大学子前来报到,44210,1564758044
我今天刚到武汉哈哈哈哈哈 明天就去吃吃吃,44659,1564753402
啊啊啊什么时候来的,44998,1564759514
我还在想旁边这个人为什么站着不动,45046,1564751144
西苑已经不让摆啦,45208,1564751736
来武汉了终于,45219,1564753322
千万 不要去户部巷啊各位！,45696,1564753375
怎么变胖了杨树梢？,46258,1564757436
光头强？,46299,1564753309
右边那个雕塑,46354,1564760169
万松园就是当地人吃的位置，户部巷就算了，吉庆街比户部巷稍微好一点,46679,1564757714
应该去联动@ng家的猫,46840,1564755564
就在我家边上！！！,46903,1564758567
啊 我喜欢这种,46996,1564752790
哈哈哈，武汉现在超热,46996,1564752697
户部巷很坑,47159,1564753112
小缸和阿灿的雕塑,47198,1564761254
耶,47319,1564751931
这假人好出戏啊,47567,1564752366
吉庆gai有热干面,47841,1564757133
财大西苑等等我！！！！,48018,1564754878
吉庆街，骏骏牛肉粉，还有旁边一家豆皮，巨好吃,48925,1564761276
啊啊啊啊啊啊啊啊,49559,1564759081
豆皮豆皮热干面热干面,49606,1564759036
粮道街粮道街。!!,50340,1564752694
旁边的假人呀,50687,1564760723
我们学校门口有户部巷烤面筋，可好吃了,51277,1564759599
人呢？,51355,1564756112
户部巷巨坑,51780,1564751262
右边吓我一跳,52438,1564760166
来武汉咯,52969,1564758275
两个人 一瓶水,52980,1564752250
就在这，，合照去哈哈哈哈哈哈哈哈,53015,1564760941
啊啊啊啊来我大武汉啦,53118,1564758483
户部巷还没一般夜市地摊好吃,53138,1564752088
粉丝好像少了好多！,53401,1564756125
我刚走你们就来了,53869,1564751355
盖儿没拿,53878,1564756175
武汉户部巷有家鱼糊粉很好吃,53979,1564754702
来岳阳吗,54055,1564760818
前面内个武大的憋走 我也是！！！,54241,1564758093
财大西苑!可惜了!,54290,1564754422
武汉来了,54871,1564757672
可以来面基嘛,55560,1564758806
耶耶耶,55739,1564751949
后面的大叔：我要上镜,55789,1564755933
这个星期天打算和朋友去粮道街,56284,1564752342
云南白药,56549,1564753029
明天回武汉,57228,1564753675
？？？手咋了,57306,1564756759
taste武汉！,57378,1564756006
别去 本地我们都不去,57416,1564760588
来武汉啦！,57538,1564751302
大武汉威武,58459,1564760979
盖子忘记拿了,58629,1564760189
户部巷坑,58631,1564755130
瓶盖没拿啊啊啊啊,58691,1564758412
啥时候来深圳,58978,1564757117
瓶盖忘拿了,59419,1564754593
我才离开武汉，你们就来了,60073,1564760436
拆迁大队,60116,1564758399
母上又胖了啊。。,60477,1564754073
哎哎哎，盖子忘了,60551,1564753899
武汉人在这,60719,1564755690
吉庆街别去,61055,1564752826
我我我想点外卖,61191,1564751381
嚕嚕嚕嚕嚕嚕嚕嚕嚕嚕,61644,1564757223
盖没拿,62136,1564753229
沐哥手咋了？？,62228,1564760740
肘着,62665,1564756047
才发现后面是雕塑，我还说怎么1老不动。。。,62920,1564755642
武汉人冒泡,64536,1564757105
孤单的瓶盖。。。,64797,1564758698
瓶盖,64922,1564752469
终于来武汉了,64988,1564757734
你瞧瞧，这说的是人话吗！,65015,1564756013
瓶盖儿（☆_☆）,65062,1564759200
楼主他家的热干面宇宙第一,65931,1564754405
2小时前,67708,1564753216
粮道街1,67726,1564759099
武汉烫人,67755,1564754528
吃藕,68007,1564753160
家住江汉路，真一般,68085,1564758346
啊我大武汉哈哈哈哈哈哈哈哈,68299,1564756274
1小时前,68893,1564751220
母上手咋了？,69287,1564755201
我的豆皮也要拥有姓名！！！,69891,1564755283
现在北京的气候已经取代传统4大火炉，中央都受不了开始搞环保了,70548,1564754155
十点半。。看这个纯属作死(?_?),71393,1564754741
卤藕超级好吃超级辣的！！！,72352,1564758953
昨天刚从武汉离开，现在在成都,72480,1564751807
我讨厌你们晚上更新,72538,1564755112
楼下热干面无敌好吃,72817,1564753910
大晚上的，看这个有易于我长胖啊！！！！,72868,1564751428
没拿瓶盖,73061,1564761383
你啥时候来南京啊,73487,1564753202
主厨的餐桌！,73534,1564753525
我想回国，不念书了！！！,73540,1564755526
口水直流,73760,1564754900
盲猜精粉世家,73973,1564760534
减肥计划3个月中，就当你们帮我吃了,74336,1564753582
小民大排档的藕夹和鸡爪一定要吃,74779,1564754540
点了外卖，别吃别看,75603,1564751424
我好饿！！,75815,1564760569
我想吃热干面,76167,1564753927
走嘿呀,77245,1564752041
8月去武大上学,77799,1564756966
吃着急把手咬了的那个 笑死我了,78111,1564760095
我餓了,78236,1564757239
抱着椰子吃猪耳朵的我无所畏惧,78477,1564755149
啊终于有同款了,80626,1564753557
武汉的呀，明天过去尝尝,81425,1564759173
吴长子？,82267,1564757306
最爱吃卤菜,83531,1564757440
三小时,83797,1564758459
我真的餓了,83853,1564757245
沐上都开始发光了,83870,1564758816
时长感人,84069,1564756490
华科,84245,1564758291
吴长子,84748,1564757764
雪鱼去过,84875,1564758332
武汉的出来报道,85243,1564752687
能卤蒜吗,85536,1564757119
母上打粉底了,85555,1564755769
武汉的卤菜是真好吃,85920,1564757128
木上这个镜头好像刘小策哈哈哈哈,86099,1564754610
万物皆可打野,86352,1564751484
大半夜的点开我是有多想不开,86396,1564758673
好想摸摸，头发好光滑,87538,1564751239
这还不是蒜？！,87975,1564754651
那请拿个月饼卤吧,88371,1564752924
周黑鸭,88440,1564755034
哪里来的十点半？？？？,88630,1564756201
不假,89071,1564751087
蒜？,89377,1564752875
广东人都可以卤,89820,1564753665
武汉啊。早说啊，我来安排,89825,1564760827
这个镜框好看,90438,1564756865
蒜了蒜了 猜不到了,90534,1564751127
卤智深,90599,1564751911
木上化妆了？,90719,1564759047
大蒜，我猜的，没看过后面,90863,1564760120
万物皆可撸,91040,1564757222
蒜,91537,1564757666
神机妙蒜,91959,1564758985
幼稚鬼,92067,1564753950
蒜了，不想猜,92300,1564758968
万物皆可撸？！,92339,1564754161
蒜计上了？,92380,1564760158
蒜,92399,1564757395
盲猜蒜,92400,1564758848
除了蒜头还能有什么,92419,1564752199
cp感好强,92563,1564759230
蒜,92719,1564753123
我超爱吃卤菜,92744,1564751451
杨树梢除了买大蒜还能买啥……,92837,1564760160
蒜,92898,1564753867
华科,93369,1564758300
弹幕呢,93399,1564755352
蒜,93436,1564760720
大蒜,93439,1564760794
蒜来了哈哈哈哈哈哈,93622,1564751298
我猜是大蒜,93718,1564760900
哈哈哈蒜来了,93840,1564759071
蒜！！,93900,1564760777
蒜,94179,1564754031
。蒜。,94200,1564753300
蒜,94416,1564756449
蒜蒜蒜,94439,1564760510
大蒜大蒜大蒜,94458,1564757411
哈哈哈哈哈哈哈哈哈哈哈，母上好搞笑,94500,1564758658
蒜啊,94718,1564760055
这俩是不是瘦了,94853,1564760772
大蒜,94973,1564751696
蒜,95078,1564751452
蒜呗，还能是啥？,95159,1564755860
赌一毛钱是大蒜,95384,1564755713
藕真的超好吃,95506,1564753590
蒜啊,95576,1564760269
蒜,95736,1564759112
蒜姐儿,95760,1564755921
妙妙工具,95979,1564758218
大蒜,96022,1564756375
大蒜,96114,1564758300
右边这个桌子我坐过惹,96130,1564758865
大蒜,96157,1564753465
蒜,96221,1564754077
蒜了，肯定蒜不到,96411,1564759201
蒜呗,96591,1564755397
蒜,96627,1564761111
大蒜,96641,1564760117
大蒜,96748,1564759130
大蒜,96908,1564752751
大蒜,96935,1564752073
好奇怪呀我竟然猜不出这是蒜,96960,1564753864
是蒜,97001,1564755410
蒜了吧,97093,1564755580
蒜,97151,1564754595
独蒜！！！！,97151,1564753310
你俩变圆了 哈哈哈,97430,1564759916
蒜,97431,1564758755
我猜是鸭脖，鸭架,97619,1564760270
你们两个啥时候结婚啊,97739,1564759862
母上真的瘦了,97941,1564753258
dasuan,98115,1564757247
涮,98155,1564756722
我掐指一蒜，是蒜,98271,1564753446
大蒜,98277,1564753717
不热吗？,98721,1564752903
邵阳人在这！！,98725,1564753934
蒜,98765,1564753960
蒜女士，带杨了吗？,98919,1564756619
刘某？,98929,1564753317
毫无胜蒜,99001,1564751400
蒜,99018,1564753448
蒜瓣子,99088,1564755156
我要来带你们,99134,1564754417
大蒜,99179,1564753689
蒜,99195,1564753417
蒜吗,99201,1564757434
大蒜么,99209,1564759006
哇 我前几天才去过,99450,1564756990
蒜？,99648,1564753951
蒜不到，蒜不到,99678,1564759968
神机妙蒜,99753,1564752807
蒜,99841,1564752481
。,99924,1564757250
蒜,100265,1564754293
武汉人,100326,1564751954
卤蒜有吗？,100600,1564757242
手动艾特taste武汉,101238,1564754767
首先排除大蒜（滑稽）,101338,1564758510
计蒜姬呢,101517,1564756217
3h前,101869,1564755667
首先排除大蒜,101890,1564758285
蒜你狠,102804,1564758555
右边戴眼镜的是PDD?,102931,1564760181
肯定是！蒜！,103096,1564761158
不用猜，就是蒜,103189,1564760689
蒜泥狠,103356,1564758947
蒜,103445,1564753964
大sao,104527,1564754629
打糍粑光膀子,104840,1564760134
@徐大sao,105199,1564757196
独蒜,105421,1564751791
目测大蒜,105657,1564761599
可有蒜,105820,1564754343
沐上化妆了啊？,106035,1564755026
原来是这家,106811,1564754706
可有蒜？,107090,1564760186
蒜蒜蒜,107280,1564761013
以后一定要去一次！！！,107570,1564751466
大蒜,107886,1564756270
手咋了,109318,1564758970
啊啊啊,109573,1564751549
雪鱼探过这家店诶！,110530,1564753879
鳕鱼来过?,110707,1564752941
鳕鱼去过我记得,110779,1564752937
又是这家，我在b站上估计看到5次这老板了,110877,1564756519
雪鱼来过啦,111919,1564752775
武汉真的超生活,112384,1564752392
武汉汉口那边有个胡炸炸还不错,112775,1564752977
卤藕好吃,114288,1564757134
鳕鱼去过,114334,1564758990
说到卤，离不开我大潮汕,114617,1564755889
蒜了吧  猜不出来,115701,1564754893
曾毅你怎么在卖卤菜了呀？？凤凰传奇混不下去了吗？？,116198,1564755316
"像南昌的水煮,看肯定没有南昌的辣",116354,1564758996
大蒜教父,118072,1564759727
雪鱼是不是来过,118717,1564751650
胖头鱼去过！,119535,1564753966
周末来吃,124193,1564754442
好快の刀啊,128576,1564755201
这个老板就是所谓的看感觉给价，所以嘛 懂得嗷,128798,1564758503
狂风快刀,129291,1564754163
藕真的好吃,130190,1564753691
记忆力超级好，只会算多，不会算少的2333,131214,1564756698
老板的感觉好像龙波,132199,1564753079
←剪视频剪到手了,132256,1564760598
好秀,133560,1564752699
←剪视频剪到手了,133792,1564760574
猪头肉来过这家店啊,134118,1564755024
好刀工,134579,1564752798
在好几个UP的饰品里见过这个老板了，就是不告诉你单价！,135965,1564755125
前面的  是不是猪头肉女王那边看过,139736,1564760931
包za,141282,1564754232
怎么把右手切烂的？,142157,1564757577
切菜伤右手是怎么操作的啊,142376,1564751968
济南酥锅,142501,1564760365
性感师傅在线收徒,143568,1564751307
一看就特别好吃,144247,1564751502
猪~,144284,1564753666
老板口音不是,144799,1564751155
居然冇得武汉话,145438,1564754475
不会切到手是因为指头关节顶在刀上，然后手指往后稍微缩一点。,146114,1564753725
流口水了,146961,1564754137
老板好像一直不戴手套哈哈,147227,1564757701
微辣~猪,148213,1564755395
感觉有点像博山的酥锅～,148490,1564754587
我饿了,149378,1564758889
想吃,150307,1564754001
这家是没有称的哪家吗？？,150925,1564755500
今天做饭把手烫伤了,151459,1564752399
辣卤？,152212,1564753263
这个不要配饭吗？看着很咸,152353,1564753567
想吃,152534,1564753582
酥锅+1,152599,1564760104
卤藕,152601,1564755716
老乡,152624,1564761395
武汉啊·,155142,1564751514
无肠子,155201,1564754107
我记得雪鱼好像来过这里,155530,1564756305
哈哈,156306,1564756379
好香,156820,1564752933
老板觉得你在占他便宜,157406,1564753626
刀工棒,157454,1564753153
鳕鱼是不是来过呀？,157780,1564756958
哈哈哈哈哈哈哈哈哈哈哈哈,158099,1564754811
我家那边也有卤菜,158306,1564752016
想回家吃豆皮,158595,1564752753
丈育,159603,1564753682
会说话就吃东西,159783,1564760788
打钱,160204,1564752119
哈哈哈哈哈,160253,1564760057
哈哈哈,160257,1564752507
哈哈哈哈哈,160379,1564759044
武汉是早餐帝国 不要光记住周黑鸭,160428,1564753152
哈哈哈哈哈哈,162523,1564759610
吃了文化的亏,162632,1564757717
吴长子,162880,1564753903
哈哈哈哈哈哈哈,164178,1564755819
无肠子~就是这没大肠刺身,167022,1564755004
2333333,168428,1564757851
我好像知道在哪,168549,1564752136
看心情定价？？？,169598,1564756620
卤粉吗好吃的,171826,1564758029
武汉长子是高个子的意思,171959,1564757237
武汉话长子就是 高个子的意思,172248,1564759017
无肠子,173220,1564754954
好多啊,173239,1564758200
母上化妆了嘛？,173918,1564752449
离母上最近一次,173981,1564753076
吴长子是说这个人长得长,176077,1564751328
跑江汉那边去了哇,177513,1564757656
硬邦邦帮主！,177526,1564760096
←黑店百地？,178977,1564753596
同款斜挎包,179187,1564757070
狗哥？狗哥是你吗？,180364,1564752795
怎么你的弹幕可以显示,184458,1564759836
哈哈哈哈哈哈哈,185469,1564760060
沐上傻乐傻乐的,186399,1564756094
木上为啥变白了,187246,1564754799
哈哈哈哈哈哈,187461,1564754038
来自大佬的凝视,188081,1564757342
哈哈哈哈哈哈哈哈哈哈哈,188124,1564761392
哈哈哈哈哈哈哈哈哈哈哈哈哈哈,188177,1564753748
哈哈哈哈哈哈哈哈搬着小板凳争着上镜,188227,1564752752
被围观的母上,188821,1564756980
这期沐上看起来格外眉清目秀，肯定是因为看了之前瘦的时候的照片的缘故,189404,1564752480
我吃过哈哈确实好,189548,1564756133
好尴尬呀,189590,1564753713
哈哈哈哈哈哈哈大哥们are watching you,190172,1564756916
沐上脸有点粉啊,190397,1564761388
成明星了,190403,1564753873
大哥的注视,190482,1564759849
母上咋变帅了？白白嫩嫩油油的？,190639,1564755379
哈哈哈哈嗝,191015,1564758547
哈哈哈哈哈哈哈哈哈哈哈,191517,1564756459
最受不了吃东西被围观。。。,191535,1564759198
周末去吃,191700,1564754510
哈哈哈哈哈哈哈,191796,1564760787
文明观猴,191817,1564753762
好帅,191971,1564757976
哈哈哈哈哈哈哈哈哈,192139,1564752984
哈哈哈哈哈哈,192219,1564759112
